what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1269695227056
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1269695227103
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1269695227134
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1269695227228
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1269695227337
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269695227400
os,sysinfo,,,"win32",1269695227400
arch,sysinfo,,,"x86",1269695227400
ws,sysinfo,,,"win32",1269695227400
locale,sysinfo,,,"pl_PL",1269695227400
processors,sysinfo,,,"1",1269695227400
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269695227400
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1269695227400
java.specification.name,sysinfo,,,"Java Platform API Specification",1269695227400
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269695227400
java.specification.version,sysinfo,,,"1.6",1269695227400
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269695227400
java.version,sysinfo,,,"1.6.0_18",1269695227400
java.vm.info,sysinfo,,,"mixed mode, sharing",1269695227400
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269695227400
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269695227400
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269695227400
java.vm.specification.version,sysinfo,,,"1.0",1269695227400
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269695227400
java.vm.version,sysinfo,,,"16.0-b13",1269695227400
